PREFIX_EI_DM ,REF GM    ,TAB_CFG     ,TAB_TESTES ,TIPO_AMOSTRA	    ,PN VISTEON   ,Spare    ,DES_MODELO        ,PREFIX_EI ,DISPLAY   ,APLIQUE   ,SERVIÇO  ,SPARE_5  ,SPARE_6
SJY69        ,26315237  ,SJY50.CFG   ,SJY69.TXT  ,TESTE    	    ,VPKSJF-BKB   ,-----    ,JCSC_Mono-CHP-Serv,SJY69     ,MONO      ,EP        ,SIM      ,         ,
SJY68        ,26315241  ,SJY49.CFG   ,SJY68.TXT  ,TESTE    	    ,VPKSJF-BHB   ,-----    ,JCSC_Seg-Serv     ,SJY68     ,SEG       ,ADA       ,SIM      ,         ,
SJY70        ,26315242  ,SJY51.CFG   ,SJY70.TXT  ,TESTE	            ,VPKSJF-BLB   ,-----    ,JCSC-RS-Mono-Serv ,SJY70     ,MONO      ,MD        ,SIM      ,         ,
SJY71        ,26315238  ,SJY52.CFG   ,SJY71.TXT  ,TESTE    	    ,VPKSJF-BGB   ,-----    ,JCSC_Seg-Serv     ,SJY71     ,SEG       ,GP        ,SIM      ,         ,
SJY72        ,26315243  ,SJY53.CFG   ,SJY72.TXT  ,TESTE	            ,VPKSJF-BZB   ,-----    ,JCSC_Mono-Serv    ,SJY72     ,MONO      ,AKP       ,SIM      ,         ,
SJY73        ,26313242  ,SJY54.CFG   ,SJY54.TXT  ,TESTE	            ,VPKSJF-BSB   ,-----    ,JBUC Mono_Serv    ,SJY73     ,MONO      ,EE        ,SIM      ,         ,
SJY74        ,26313243  ,SJY74.CFG   ,SJY55.TXT  ,TESTE	            ,VPKSJF-BTB   ,-----    ,JBUC Mono_Serv    ,SJY74     ,MONO      ,FE        ,SIM      ,         ,
SJY75        ,26313245  ,SJY56.CFG   ,SJY56.TXT  ,TESTE	            ,VPKSJF-BNB   ,-----    ,JBUC Mono_Serv    ,SJY75     ,MONO      ,EE        ,SIM      ,         ,
SJY76        ,26313247  ,SJY76.CFG   ,SJY57.TXT  ,TESTE	            ,VPKSJF-BRB   ,-----    ,JBUC Mono_Serv    ,SJY76     ,MONO      ,EE        ,SIM      ,         ,
SJY77        ,26313248  ,SJY58.CFG   ,SJY58.TXT  ,TESTE	            ,VPKSJF-BXB   ,-----    ,JBUC color_Serv   ,SJY77     ,COLOR     ,EE        ,SIM      ,         ,
SJY78        ,26313249  ,SJY59.CFG   ,SJY59.TXT  ,TESTE	            ,VPKSJF-BVB   ,-----    ,JBUC color_Serv   ,SJY78     ,COLOR     ,EE        ,SIM      ,         ,
SJY92        ,26337433  ,SJY92.CFG   ,SJY92.TXT  ,TESTE    	    ,VPKSJF-BHD   ,-----    ,JBUA_Seg          ,SJY92     ,SEG       ,ADA       ,NAO      ,         ,
SJY93        ,26337428  ,SJY88.CFG   ,SJY88.TXT  ,TESTE    	    ,VPKSJF-BKD   ,-----    ,JBUA_Mono_Serv    ,SJY93     ,MONO      ,LC        ,SIM      ,         ,
SJY94        ,26337429  ,SJY51.CFG   ,SJY51.TXT  ,TESTE	            ,VPKSJF-BLD   ,-----    ,JUBA_ Mono        ,SJY94     ,MONO      ,MD        ,SIM      ,         ,
SJY95        ,26337434  ,SJY87.CFG   ,SJY87.TXT  ,TESTE    	    ,VPKSJF-BGB   ,-----    ,JBUA_Seg          ,SJY95     ,SEG       ,ADA       ,SIM      ,         ,
SJY96        ,26337430  ,SJY96.CFG   ,SJY72.TXT  ,TESTE	            ,VPKSJF-BZD   ,-----    ,JCSC_Mono-Serv    ,SJY96     ,MONO      ,AKP       ,SIM      ,         ,
------------------------------------------------------------SERVICES SJK----------------------------------------------------------------------------------------------
SJK07        ,26331059  ,SJK02.CFG   ,SJK02.TXT  ,TESTE    	    ,VPKSJF-BKE   ,-----    ,JBUA_Mono_Serv    ,SJK07     ,MONO      ,LC        ,SIM      ,         ,
SJK06        ,26331063  ,SJK01.CFG   ,SJK01.TXT  ,TESTE    	    ,VPKSJF-AHE   ,-----    ,JBUA_Seg_Sev      ,SJK06     ,SEG       ,ADA       ,SIM      ,         ,
SJK08        ,26331064  ,SJK03.CFG   ,SJK03.TXT  ,TESTE	            ,VPKSJF-BLE   ,-----    ,JUBA_ Mono        ,SJK08     ,MONO      ,MD        ,SIM      ,         ,
SJK09        ,26331060  ,SJK04.CFG   ,SJK04.TXT  ,TESTE    	    ,VPKSJF-BGE   ,-----    ,JBUA_Seg_Serv     ,SJK09     ,SEG       ,DG        ,SIM      ,         ,
SJK20        ,26330843  ,SJK11.CFG   ,SJK11.TXT  ,TESTE	            ,VPKSJF-BSD   ,-----    ,JBUC Mono         ,SJK20     ,MONO      ,EE        ,SIM      ,         ,
SJK21        ,26330844  ,SJK12.CFG   ,SJK12.TXT  ,TESTE	            ,VPKSJF-BTD   ,-----    ,JBUC Mono         ,SJK21     ,MONO      ,FE        ,SIM      ,         ,
SJK22        ,26330846  ,SJK13.CFG   ,SJK13.TXT  ,TESTE	            ,VPKSJF-BND   ,-----    ,JBUC Mono         ,SJK22     ,MONO      ,HE        ,SIM      ,         ,
SJK23        ,26330848  ,SJK14.CFG   ,SJK14.TXT  ,TESTE	            ,VPKSJF-BRD   ,-----    ,JBUC Mono         ,SJK23     ,MONO      ,FE        ,SIM      ,         ,
SJK24        ,26330849  ,SJK15.CFG   ,SJK15.TXT  ,TESTE	            ,VPKSJF-BXD   ,-----    ,JBUC color        ,SJK24     ,COLOR     ,PF        ,SIM      ,         ,
SJK25        ,26330850  ,SJK16.CFG   ,SJK16.TXT  ,TESTE	            ,VPKSJF-BVD   ,-----    ,JBUC color        ,SJK25     ,COLOR     ,NE        ,SIM      ,         ,
SJK34        ,26378865  ,SJK29.CFG   ,SJK29.TXT  ,TESTE    	    ,VPKSJF-BHF   ,-----    ,JBUA_Seg          ,SJK34     ,SEG       ,ADA       ,SIM      ,         ,
SJK35        ,26378863  ,SJK30.CFG   ,SJK30.TXT  ,TESTE    	    ,VPKSJF-BKF   ,-----    ,JBUA_Mono         ,SJK35     ,MONO      ,LC        ,SIM      ,         ,
SJK37        ,26378864  ,SJK32.CFG   ,SJK32.TXT  ,TESTE    	    ,VPKSJF-BGF   ,-----    ,JBUA_Seg          ,SJK37     ,SEG       ,DG        ,SIM      ,         ,
SJK45        ,26375384  ,SJK11.CFG   ,SJK11.TXT  ,TESTE	            ,VPKSJF-BSE   ,-----    ,JBUC Mono         ,SJK45     ,MONO      ,EE        ,SIM      ,         ,
